title_display,primary_category,postings,median_salary,avg_applications,avg_views,opportunity_score,competition_level
(Jc) Senior Logistics Officer (Pioneer) - $2900,Admin / Secretarial,21,2800.0,0.0,9.619047619047619,23.7,Low
(Jc) Senior Merchandiser - $4000,Sales / Retail,24,3500.0,0.16666666666666666,6.875,25.0,Low
(Jc) Service Engineer (Field Site),Engineering,51,3250.0,0.13725490196078433,3.803921568627451,29.6,Low
(Jc) Service Engineer (Field Site) - $3000,Engineering,48,2750.0,0.20833333333333334,8.083333333333334,28.0,Low
(Jc) Service Engineer E1 (Field Site) - $2600,Engineering,48,2550.0,0.08333333333333333,6.770833333333333,28.2,Low
(Jc) Van Sales Representative (Woodlands),F&B,27,2000.0,0.0,2.6666666666666665,23.8,Low
(Jc) Van Sales Representative (Woodlands) - $2800,F&B,25,2000.0,0.04,6.2,23.1,Low
(Jc) Warehouse Assistant (Pioneer) - $2400,General Work,27,2200.0,0.037037037037037035,8.333333333333334,24.0,Low
(Jc) Warehouse Coordinator (Pioneer) - $2500,Admin / Secretarial,26,2300.0,0.038461538461538464,8.73076923076923,23.9,Low
(Jcoc) Purchasing Officer/Executive (Chemicals) - $3000,Admin / Secretarial,22,2500.0,0.045454545454545456,9.227272727272727,23.2,Low
(Jcoc) Supply Chain Coordinator - Jurong Island,Engineering,24,2750.0,0.2916666666666667,2.9583333333333335,23.1,Low
(Jcoc) Supply Chain Coordinator - Jurong Island - $3300,Engineering,42,2750.0,0.09523809523809523,6.642857142857143,27.6,Low
(Jcor) Annual Inspector - Escalator & Elevator Industry ($4400),Customer Service,45,3800.0,0.08888888888888889,6.288888888888889,30.1,Low
(Joc) Warehouse Assistant (Serangoon/Loyang) - $2500,General Work,21,2150.0,0.047619047619047616,6.476190476190476,22.2,Low
(K) No Exp Req - Delivery Assistant (Gross Up $3K),General Work,23,2850.0,0.21739130434782608,7.086956521739131,23.3,Low
(Night Club) General Manager,General Management,31,9750.0,0.41935483870967744,6.838709677419355,38.8,Low
(Student / Fresh Entry / Mid-Career) Financial Advisor (Hybrid Work),Banking and Finance,63,4150.0,0.15873015873015872,11.015873015873016,36.1,Low
(Student / Fresh Graduates) Financial Advisor,Banking and Finance,93,3500.0,0.03225806451612903,4.096774193548387,40.5,Low
*** $12 Per Hour Part Time Waiters & Waitresses Wanted @ East Coast Road (5 Vacancies) ***,F&B,32,1200.0,0.0625,10.71875,26.2,Low
*** Bartender / Barman Wanted @ East Coast Road ***,F&B,31,2900.0,0.06451612903225806,4.870967741935484,27.4,Low
*** Head Chef Wanted @ East Coast Road ***,F&B,84,4600.0,0.11904761904761904,2.011904761904762,35.6,Low
*** Sous Chef Wanted @ East Coast Road ***,F&B,72,3600.0,0.08333333333333333,3.6805555555555554,32.9,Low
*Fast Hire* 3- 6 Months Contract Admin Assistant (Up To $2600) #Nje,Admin / Secretarial,30,2300.0,0.6,4.9,25.7,Low
"*Intern* Clinic Receptionist (No Experience Needed, Office Hrs) #Hvw",Customer Service,33,2600.0,0.15151515151515152,2.3636363636363638,26.8,Low
-Appointment Setting Executive,Insurance,122,6500.0,0.4918032786885246,6.573770491803279,40.1,Low
-Appointment Setting Officer,Consulting,118,4500.0,0.3983050847457627,5.627118644067797,38.6,Low
-Customer Admin Officer,Admin / Secretarial,120,4500.0,0.8583333333333333,16.283333333333335,36.4,Low
-Customer Support Executive,Admin / Secretarial,119,4750.0,0.5294117647058824,8.571428571428571,37.9,Low
-Human Resource & Administrative Officer (Hr & Admin),Human Resources,118,4250.0,1.0932203389830508,21.805084745762713,37.0,Medium
-Recruitment Officer,Admin / Secretarial,120,1640.0,0.3,5.566666666666666,31.6,Low
-Social Media Executive,Consulting,120,6000.0,0.38333333333333336,6.2,39.4,Low
-Social Media Wfh Officer,Customer Service,119,4750.0,0.6218487394957983,10.974789915966387,37.6,Low
-Work From Home- Financial Sales Officer,Professional Services,121,4250.0,0.35537190082644626,10.429752066115702,40.4,Low
.Net Developer,Information Technology,198,6750.0,0.8080808080808081,17.2020202020202,44.7,Low
1 Year Contract Customer Service Agent (Office Hour) #Hty,Healthcare / Pharmaceutical,21,3500.0,0.14285714285714285,3.7142857142857144,28.9,Low
"2-4 Month Patient Service Associate (Office Hours, No Experience Needed, Multiple Locations!) #Hvw",Customer Service,23,2500.0,0.21739130434782608,5.217391304347826,24.0,Low
3195-Accounts Executive [Full Set],Accounting / Auditing / Taxation,20,3250.0,0.2,10.35,23.2,Low
3195-Childcare Principal & Teacher (Dpl/Dpt/Acey/Cpt/Hcic) Islandwide!!,Education and Training,26,3250.0,0.07692307692307693,6.346153846153846,25.5,Low
3195-Outdoor Sales Executive,Sales / Retail,27,3650.0,0.18518518518518517,16.037037037037038,26.0,Low
3D Designer,Architecture / Interior Design,20,3500.0,2.75,56.9,18.3,Medium
3D Renderer,Architecture / Interior Design,29,4000.0,0.41379310344827586,18.20689655172414,26.9,Low
6723-Childcare Cleaner / Childcare Cook [Islandwide],General Work,20,1600.0,0.45,16.6,19.1,Low
6723-Technical Sales Engineer/ Product Sales Engineer [Plc |Up To $3.5K |Training Provided],Engineering,34,3100.0,0.08823529411764706,3.4411764705882355,26.9,Low
Aba Therapist #65954,Education and Training,36,2700.0,0.19444444444444445,4.138888888888889,28.2,Low
Account,Accounting / Auditing / Taxation,35,3250.0,1.6,55.857142857142854,23.4,Medium
Account & Admin Assistant,Accounting / Auditing / Taxation,25,2500.0,2.8,69.12,20.3,Medium
Account Assistant,Accounting / Auditing / Taxation,703,2650.0,3.681365576102418,91.61450924608819,40.2,Medium
Account Assistant,Building and Construction,25,2650.0,4.16,94.32,17.4,Medium
Account Assistant / Account Executive,Accounting / Auditing / Taxation,37,2900.0,1.1081081081081081,49.62162162162162,24.8,Medium
Account Assistant Manager,Accounting / Auditing / Taxation,23,4600.0,0.8260869565217391,15.08695652173913,28.7,Low
Account Assistant Manager,Admin / Secretarial,21,4500.0,0.42857142857142855,5.857142857142857,28.7,Low
Account Cum Admin,Accounting / Auditing / Taxation,43,2650.0,1.3953488372093024,40.7906976744186,23.4,Medium
Account Cum Admin Assistant,Accounting / Auditing / Taxation,85,2600.0,1.411764705882353,50.917647058823526,28.1,Medium
Account Cum Admin Executive,Accounting / Auditing / Taxation,31,3000.0,1.3870967741935485,41.87096774193548,22.3,Medium
Account Director,Advertising / Media,30,8500.0,3.7666666666666666,34.2,29.1,Medium
Account Executive,Accounting / Auditing / Taxation,1318,3200.0,2.7488619119878606,60.262518968133534,45.8,Medium
Account Executive,Advertising / Media,58,3000.0,1.4482758620689655,38.793103448275865,26.6,Medium
Account Executive,Building and Construction,26,3500.0,2.1153846153846154,43.0,21.5,Medium
Account Executive,Information Technology,30,11250.0,1.8,32.2,38.0,Medium
"Account Executive (Advertising Agency, Up To $4,000)",Advertising / Media,29,3500.0,0.27586206896551724,5.482758620689655,25.8,Low
Account Executive (It Solutions),Information Technology,37,3000.0,0.16216216216216217,10.972972972972974,26.9,Low
Account Executive Cum Admin,Accounting / Auditing / Taxation,21,3650.0,6.523809523809524,88.61904761904762,15.0,High
Account Manager,Accounting / Auditing / Taxation,117,5500.0,2.3504273504273505,33.78632478632478,34.2,Medium
Account Manager,Advertising / Media,73,4600.0,2.9315068493150687,32.24657534246575,28.8,Medium
Account Manager,Consulting,33,5200.0,2.9393939393939394,26.696969696969695,24.7,Medium
Account Manager,Customer Service,72,4750.0,3.4583333333333335,38.81944444444444,28.2,Medium
Account Manager,Engineering,38,4500.0,0.7105263157894737,13.789473684210526,29.6,Low
Account Manager,Information Technology,76,5000.0,3.75,33.71052631578947,28.4,Medium
Account Manager,Marketing / Public Relations,29,5000.0,6.655172413793103,59.6551724137931,19.7,High
Account Manager,Sales / Retail,91,4750.0,3.681318681318681,37.582417582417584,29.7,Medium
Account Manager #65859,Sales / Retail,26,3000.0,0.038461538461538464,2.923076923076923,27.3,Low
"Account Manager (Manufacturing, Semiconductor, Electronics/ North)",Engineering,35,5750.0,1.1142857142857143,18.37142857142857,30.6,Medium
Account Manager (Software),Information Technology,32,5750.0,0.09375,1.375,35.3,Low
Account Officer,Accounting / Auditing / Taxation,24,2825.0,2.25,49.958333333333336,19.1,Medium
Account Payable,Accounting / Auditing / Taxation,22,2800.0,2.090909090909091,66.77272727272727,18.3,Medium
Accountant,Accounting / Auditing / Taxation,1862,4300.0,6.681525241675618,84.55639097744361,46.2,High
Accountant,Banking and Finance,20,4875.0,3.25,74.15,20.0,Medium
Accountant,Building and Construction,20,4050.0,4.55,50.2,17.3,Medium
Accountant,F&B,27,7500.0,0.6296296296296297,14.148148148148149,32.7,Low
Accountant #65784,Accounting / Auditing / Taxation,23,4500.0,0.34782608695652173,9.391304347826088,27.9,Low
Accountant (3 Months Contract) Manufacturing Mnc,Accounting / Auditing / Taxation,29,6250.0,0.2413793103448276,1.896551724137931,31.0,Low
Accountant (Distribution),Accounting / Auditing / Taxation,22,5000.0,0.09090909090909091,2.090909090909091,27.6,Low
Accountant (Group Consolidation / 6 Month) Hospitality Mnc,Accounting / Auditing / Taxation,37,5500.0,0.32432432432432434,3.5135135135135136,30.9,Low
"Accountant (Tuas, Marine/Construction)",Accounting / Auditing / Taxation,23,4500.0,0.13043478260869565,1.9565217391304348,26.8,Low
Accountant / F&B Mnc / North / 3 Months Contract,Accounting / Auditing / Taxation,25,6250.0,0.04,1.76,31.0,Low
Accountant / Senior Accountant,Accounting / Auditing / Taxation,33,4900.0,5.96969696969697,70.57575757575758,20.3,High
Accountant Assistant,Accounting / Auditing / Taxation,27,3100.0,5.962962962962963,140.1851851851852,17.0,High
Accountant Executive,Accounting / Auditing / Taxation,24,3325.0,1.25,40.541666666666664,21.8,Medium
Accounting Analyst,Accounting / Auditing / Taxation,21,4500.0,2.7142857142857144,37.285714285714285,20.6,Medium
Accounting And Tax Manager (Oil & Gas Mnc),Accounting / Auditing / Taxation,38,9000.0,0.42105263157894735,5.578947368421052,37.2,Low
Accounting Assistant,Accounting / Auditing / Taxation,43,2700.0,3.1627906976744184,95.51162790697674,21.8,Medium
